,Player_Stats (College/Univ),Player_Stats (Univ_State),School,City and State,Type,Conference,Division,Sub-division
253,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
254,Allen,SC,Allen University,"Columbia, South Carolina",Private,Southern Intercol. Ath. Conf.,NCAA D2,NCAA D2
255,New Mexico St.,NM,New Mexico State University,"Las Cruces, New Mexico",Public,Sun Belt Conference,NCAA D1,FBS
256,Morgan St.,MD,Morgan State University,"Baltimore, Maryland",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
257,Wisconsin,WI,University of Wisconsin,"Madison, Wisconsin",Public,Big Ten Conference,NCAA D1,FBS
258,Missouri,MO,University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1,FBS
259,Arkansas,AR,University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1,FBS
260,Ark-Pine Bluff,AR,University of Arkansas at Pine Bluff,"Pine Bluff, Arkansas",Public,Southwestern Athletic Conference,NCAA D1,FCS
261,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
262,BYU,UT,Brigham Young University,"Provo, Utah",Private,West Coast Conference,NCAA D1,FBS
263,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
264,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
265,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
266,Western Carolina,NC,Western Carolina University,"Cullowhee, North Carolina",Public,Southern Conference,NCAA D1,FCS
267,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
268,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
269,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
270,LSU,LA,Louisiana State University (LSU),"Baton Rouge, Louisiana",Public,Southeastern Conference,NCAA D1,FBS
271,Louisiana,LA,University of Louisiana,"Lafayette, Louisiana",Public,Sun Belt Conference,NCAA D1,FBS
272,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
273,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
274,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
275,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
276,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
277,Indiana,IN,Indiana University,"Bloomington, Indiana",Public,Big Ten Conference,NCAA D1,FBS
278,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
279,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
280,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
281,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
282,Colorado St.,CO,Colorado State University,"Fort Collins, Colorado",Public,Mountain West Conference,NCAA D1,FBS
283,Colorado St.,CO,Colorado State University,"Fort Collins, Colorado",Public,Mountain West Conference,NCAA D1,FBS
284,Northern Colorado,CO,University of Northern Colorado,"Greeley, Colorado",Public,Big Sky Conference,NCAA D1,FCS
285,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
286,Tusculum,TN,Tusculum University,"Greeneville, Tennessee",Private,South Atlantic Conference,NCAA D2,NCAA D2
287,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
288,Virginia,VA,University of Virginia,"Charlottesville, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
289,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
290,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
291,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
292,Texas,TX,University of Texas – Austin,"Austin, Texas",Public,Big 12 Conference,NCAA D1,FBS
293,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
294,Alabama,AL,University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1,FBS
295,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
296,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
297,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
298,Kansas St.,KS,Kansas State University,"Manhattan, Kansas",Public,Big 12 Conference,NCAA D1,FBS
299,Northwestern,IL,Northwestern University,"Evanston, Illinois",Private,Big Ten Conference,NCAA D1,FBS
300,Northwestern,IL,Northwestern University,"Evanston, Illinois",Private,Big Ten Conference,NCAA D1,FBS
301,Boise St.,ID,Boise State University,"Boise, Idaho",Public,Mountain West Conference,NCAA D1,FBS
302,Brown,RI,Brown University,"Providence, Rhode Island",Private,Ivy League,NCAA D1,FCS
303,Arizona St.,AZ,Arizona State University,"Tempe, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
304,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
305,Cincinnati,OH,University of Cincinnati,"Cincinnati, Ohio",Public,American Athletic Conference,NCAA D1,FBS
306,Youngstown St.,OH,Youngstown State University,"Youngstown, Ohio",Public,Horizon League,NCAA D1,FCS
307,Miami (OH),OH,Miami University,"Oxford, Ohio",Public,Mid-American Conference,NCAA D1,FBS
308,Tiffin,OH,Tiffin University,"Tiffin, Ohio",Private,Great Midwest Athletic Conference,NCAA D2,NCAA D2
309,Minnesota,MN,University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten Conference,NCAA D1,FBS
310,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
311,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
312,Wisconsin-Stevens Point,WI,University of Wisconsin – Stevens Point,"Stevens Point, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3,NCAA D3
313,West Virginia,WV,West Virginia University,"Morgantown, West Virginia",Public,Big 12 Conference,NCAA D1,FBS
314,New Hampshire,NH,University of New Hampshire,"Durham, New Hampshire",Public,American East Conference,NCAA D1,FCS
315,North Carolina,NC,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
316,Western Carolina,NC,Western Carolina University,"Cullowhee, North Carolina",Public,Southern Conference,NCAA D1,FCS
317,Winston-Salem St.,NC,Winston-Salem State University,"Winston-Salem, North Carolina",Public,Central Intercollegiate Athletic Association,NCAA D2,NCAA D2
318,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
319,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
320,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
321,Northern Michigan,MI,Northern Michigan University,"Marquette, Michigan",Public,Great Lakes Intercollegiate Athletic Conference,NCAA D2,NCAA D2
322,Grambling St.,LA,Grambling State University,"Grambling, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
323,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
324,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
325,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
326,Florida,FL,University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1,FBS
327,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
328,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
329,Purdue,IN,Purdue University,"West Lafayette, Indiana",Public,Big Ten Conference,NCAA D1,FBS
330,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
331,UCLA,CA,University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Pac-12 Conference,NCAA D1,FBS
332,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
333,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
334,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
335,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
336,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
337,Colorado,CO,University of Colorado – Boulder,"Boulder, Colorado",Public,Pac-12 Conference,NCAA D1,FBS
338,Tennessee St.,TN,Tennessee State University,"Nashville, Tennessee",Public,Ohio Valley Conference,NCAA D1,FCS
339,Hampton,VA,Hampton University,"Hampton, Virginia",Private,Colonial Athletic Association,NCAA D1,FCS
340,Pittsburgh,PA,University of Pittsburgh,"Pittsburgh, Pennsylvania",Public,Atlantic Coast Conference,NCAA D1,FBS
341,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
342,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
343,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
344,North Texas,TX,University of North Texas,"Denton, Texas",Public,Conference USA,NCAA D1,FBS
345,Texas Tech,TX,Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1,FBS
346,Auburn,AL,Auburn University,"Auburn, Alabama",Public,Southeastern Conference,NCAA D1,FBS
347,Iowa,IA,University of Iowa,"Iowa City, Iowa",Public,Big Ten Conference,NCAA D1,FBS
348,Georgia,GA,University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1,FBS
349,Georgia Tech,GA,Georgia Tech,"Atlanta, Georgia",Public,Atlantic Coast Conference,NCAA D1,FBS
350,Fort Valley St.,GA,Fort Valley State University,"Fort Valley, Georgia",Public,Southern Intercol. Ath. Conf.,NCAA D2,NCAA D2
351,Pittsburg St.,KS,Pittsburg State University,"Pittsburg, Kansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2,NCAA D2
352,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
353,Nebraska,NE,University of Nebraska,"Lincoln, Nebraska",Public,Big Ten Conference,NCAA D1,FBS
354,Hawaii,HI,University of Hawaii at Manoa,"Honolulu, Hawaii",Public,Mountain West Conference,NCAA D1,FBS
355,Ohio St.,OH,Ohio State University,"Columbus, Ohio",Public,Big Ten Conference,NCAA D1,FBS
356,Washington,WA,University of Washington,"Seattle, Washington",Public,Pac-12 Conference,NCAA D1,FBS
357,,,,,,,,
358,Oregon,OR,University of Oregon,"Eugene, Oregon",Public,Pac-12 Conference,NCAA D1,FBS
359,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
360,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
361,Mississippi St.,MS,Mississippi State University,"Mississippi State, Mississippi",Public,Southeastern Conference,NCAA D1,FBS
362,Mississippi Col.,MS,Mississippi College,"Clinton, Mississippi",Private,Gulf South Conference,NCAA D2,NCAA D2
363,Kentucky,KY,University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1,FBS
364,Eastern Kentucky,KY,Eastern Kentucky University,"Richmond, Kentucky",Public,Atlantic Sun Conference,NCAA D1,FCS
365,Eastern Kentucky,KY,Eastern Kentucky University,"Richmond, Kentucky",Public,Atlantic Sun Conference,NCAA D1,FCS
366,Maryland,MD,University of Maryland,"College Park, Maryland",Public,Big Ten Conference,NCAA D1,FBS
367,Wisconsin-LaCrosse,WI,University of Wisconsin – La Crosse,"La Crosse, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference,NCAA D3,NCAA D3
368,UNLV,NV,University of Nevada – Las Vegas,"Las Vegas, Nevada",Public,Mountain West Conference,NCAA D1,FBS
369,Maine,ME,University of Maine,"Orono, Maine",Public,America East Conference,NCAA D1,FCS
370,West Virginia,WV,West Virginia University,"Morgantown, West Virginia",Public,Big 12 Conference,NCAA D1,FBS
371,East Carolina,NC,East Carolina University,"Greenville, North Carolina",Public,American Athletic Conference,NCAA D1,FBS
372,Michigan,MI,University of Michigan,"Ann Arbor, Michigan",Public,Big Ten Conference,NCAA D1,FBS
373,Michigan St.,MI,Michigan State University,"East Lansing, Michigan",Public,Big Ten Conference,NCAA D1,FBS
374,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
375,Eastern Michigan,MI,Eastern Michigan University,"Ypsilanti, Michigan",Public,Mid-American Conference,NCAA D1,FBS
376,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
377,Louisiana Tech,LA,Louisiana Tech University,"Ruston, Louisiana",Public,Conference USA,NCAA D1,FBS
378,Southern,LA,Southern University & A&M College,"Baton Rouge, Louisiana",Public,Southwestern Athletic Conference,NCAA D1,FCS
379,Northwestern St. (LA),LA,Northwestern State University of Louisiana,"Natchitoches, Louisiana",Public,Southland Conference,NCAA D1,FCS
380,Florida St.,FL,Florida State University,"Tallahassee, Florida",Public,Atlantic Coast Conference,NCAA D1,FBS
381,Miami (FL),FL,University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1,FBS
382,Oklahoma St.,OK,Oklahoma State University,"Stillwater, Oklahoma",Public,Big 12 Conference,NCAA D1,FBS
383,Notre Dame,IN,University of Notre Dame,"Notre Dame, Indiana",Private,Division I-A Independents,NCAA D1,FBS
384,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
385,USC,CA,University of Southern California,"Los Angeles, California",Private,Pac-12 Conference,NCAA D1,FBS
386,California,CA,University of California-Berkeley,"Berkeley, California",Public,Pac-12 Conference,NCAA D1,FBS
387,Tennessee,TN,University of Tennessee,"Knoxville, Tennessee",Public,Southeastern Conference,NCAA D1,FBS
388,Virginia Tech,VA,Virginia Tech,"Blacksburg, Virginia",Public,Atlantic Coast Conference,NCAA D1,FBS
389,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
390,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
391,Penn St.,PA,Penn State,"University Park, Pennsylvania",Public,Big Ten Conference,NCAA D1,FBS
392,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
393,Temple,PA,Temple University,"Philadelphia, Pennsylvania",Public,American Athletic Conference,NCAA D1,FBS
394,Baylor,TX,Baylor University,"Waco, Texas",Private,Big 12 Conference,NCAA D1,FBS
395,North Texas,TX,University of North Texas,"Denton, Texas",Public,Conference USA,NCAA D1,FBS
396,Texas A&M-Commerce,TX,Texas A&M University – Commerce,"Commerce, Texas",Public,Lone Star Conference,NCAA D1,FCS
397,Alabama A&M,AL,Alabama A&M University,"Normal, Alabama",Public,Southwestern Athletic Conference,NCAA D1,FCS
398,Kansas,KS,University of Kansas,"Lawrence, Kansas",Public,Big 12 Conference,NCAA D1,FBS
399,Western Illinois,IL,Western Illinois University,"Macomb, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
400,Eastern Illinois,IL,Eastern Illinois University,"Charleston, Illinois",Public,Ohio Valley Conference,NCAA D1,FCS
401,Rhode Island,RI,University of Rhode Island,"Kingston, Rhode Island",Public,Atlantic Ten Conference,NCAA D1,FCS
402,Rhode Island,RI,University of Rhode Island,"Kingston, Rhode Island",Public,Atlantic Ten Conference,NCAA D1,FCS
403,Arizona,AZ,University of Arizona,"Tucson, Arizona",Public,Pac-12 Conference,NCAA D1,FBS
404,Kent St.,OH,Kent State University,"Kent, Ohio",Public,Mid-American Conference,NCAA D1,FBS
405,Boston Col.,MA,Boston College,"Chestnut Hill, Massachusetts",Private,Atlantic Coast Conference,NCAA D1,FBS
406,South Carolina,SC,University of South Carolina,"Columbia, South Carolina",Public,Southeastern Conference,NCAA D1,FBS
407,Clemson,SC,Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1,FBS
408,South Carolina St.,SC,South Carolina State University,"Orangeburg, South Carolina",Public,Mid-Eastern Athletic Conference,NCAA D1,FCS
409,Allen,SC,Allen University,"Columbia, South Carolina",Private,Southern Intercol. Ath. Conf.,NCAA D2,NCAA D2
410,Louisville,KY,University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1,FBS
